sample_id,status,geometry.r_long_endo,geometry.r_short_endo,geometry.wall_thickness_long,geometry.wall_thickness_short,geometry.fiber_angle_endo,geometry.fiber_angle_epi,config.dt,config.ep_conductivity_longitudinal_scale,config.ep_conductivity_transverse_scale,config.stimulus_amplitude_scale,config.stimulus_duration,config.dt_mech,config.spring,config.passive_stiffness_scale,stimulus.depth
0,designed,15.118057453175068,6.293801861910916,3.727618421286474,3.891714247848273,-52.80008619831737,58.54219166708225,0.07196961212073136,0.9552858732582009,1.1649082459301803,0.9868726333689737,2.3670373623558225,1.3315492843429733,0.00722866321494726,0.9261031078744107,2.361832347395456
1,designed,17.17577644121587,6.898384339276485,2.5338487306842943,2.68023980557378,-50.41645426672517,61.840495589020186,0.03522453195211479,1.1679197215075745,1.1750807447967457,0.9597301188990542,1.5634076398373038,1.6606084114761746,0.006883472814406735,1.0863078191455893,1.2998221080749461
2,designed,17.87188377470585,7.224216067286405,2.0822236296975203,3.6338348578465984,-68.51431567470509,51.57266216469519,0.04349633290229432,1.1202837999822242,0.9387131460912272,0.9738563655692707,1.6098522398008395,1.8172303110410915,0.008864385417281307,0.988166217778594,2.7095716598356843
3,designed,15.40604238288981,6.700191262271854,3.306085602228962,3.7065474871484465,-59.92398386723227,60.936126942590896,0.05298312526214309,0.8518183632434436,1.0610847705270523,1.0323878933487067,2.4601729886160437,0.8677346754206499,0.015437050487576627,0.8740891272214873,2.313274255517237
4,designed,18.514610617617915,7.571134478368342,3.856899521328425,2.076860763879747,-60.165133116989914,58.32437266414772,0.057600047477126146,1.0182404463007613,0.9975372382585842,1.0784308159970153,1.9365032196185759,0.7205240792530907,0.018349116508258195,1.119466704188394,1.4247932969679225
5,designed,18.776746207275366,7.88607568985185,3.564545278280531,3.210604308150766,-57.20329842785796,69.38585141090276,0.06833418122139853,1.1349983941593682,1.098144819212938,0.9377657853605893,2.231631177046141,1.188152409363775,0.0174236957230816,1.0054786628225094,1.7837857957041963
6,designed,16.691557369459073,6.035676178714934,2.3895432866308854,3.0872830920909013,-64.37173823594884,64.3256418668722,0.04944456894722869,1.0777347415712106,0.8204432215110318,1.0926477247426138,1.8631711920269474,1.9329442434082427,0.01377823400551064,0.8216638376060251,1.1234492964324951
7,designed,16.25812465945796,7.144633425284146,2.323341924335221,3.4060028427142246,-67.09766938387773,54.26672193134615,0.06193216205321321,0.8169936724851499,1.0053338155243015,1.062729976851609,1.7850978702237321,1.035154652126768,0.0060645813460268394,1.1379233295264528,1.5318568126926488
8,designed,16.62236785194869,6.5381838408665,3.1665275217502735,2.3286691238667876,-55.082319010875786,52.57380871348475,0.03997659586068963,1.0517681149078357,0.8590088208818396,1.015657481427001,1.7056172853789149,0.5309243245496271,0.010619804520743393,0.8564769245510311,2.63551809779125
9,designed,18.229740850012973,7.340081174857802,2.9108268356090226,2.533489297880144,-63.21105359595827,65.52456592520655,0.0630574025487647,0.996667223656708,1.1039748446055802,0.908571901932908,2.275716967437609,1.564811781411448,0.005574596006377222,0.9602670223477787,2.945844553028513
10,designed,15.90922930953039,6.370869947922625,3.3616359043668638,2.845141285783766,-54.61741937876038,66.8714407121261,0.030039472386252625,0.8959469058254557,0.9141902497998551,0.9199803012581967,2.1633365003239353,1.467361375952026,0.009772187758738811,1.0562236892947923,2.038715924139826
11,designed,17.641556875678486,7.669903468304693,2.7825982878205946,2.3837502329031937,-65.80377332710384,55.04819953419576,0.02629853811108507,0.9222033755811737,0.8985088125319923,1.0422561230228777,2.0571082842372816,0.9942712431622845,0.011444278539404388,1.1992067665186557,1.83748867441967
